@relation 'P1BotAgent-freq_1-1803_120855-training-weka.filters.unsupervised.attribute.Remove-R1-8,21-26,33-36,38-40-weka.filters.unsupervised.attribute.Remove-R1-3,7-9'

@attribute nearestEnemyRightDistance numeric
@attribute nearestEnemyRight_X numeric
@attribute nearestEnemyRight_Y numeric
@attribute nearestBlockRightDistance numeric
@attribute nearestBlockRight_X numeric
@attribute nearestBlockRight_Y numeric
@attribute enemyNearRight {0,1}
@attribute blockNearRight {0,1}
@attribute enemyAheadOnFloorHeight {0,1}
@attribute blockAheadOnFloorHeight {0,1}
@attribute isMarioOnGround {0,1}
@attribute isMarioAbleToJump {0,1}
@attribute isSlopeDown {0,1}
@attribute actionKey {0,1,2,3}

@data
5,12,13,5.385,11,4,0,0,0,0,1,1,1,2
5,12,13,5.385,11,4,0,0,0,0,1,1,1,2
5,12,13,5.385,11,4,0,0,0,0,1,1,1,2
4.472,11,13,5.099,10,4,0,0,0,0,1,1,1,2
4.472,11,13,5.099,10,4,0,0,0,0,0,1,0,2
3.606,11,12,4,13,9,0,0,0,0,0,0,0,2
3.162,10,12,3,12,9,0,0,0,0,0,0,0,2
3.162,10,12,3,12,9,0,0,0,0,0,0,0,2
2.236,10,11,3.162,12,8,0,0,0,0,0,0,0,2
7,16,9,2.828,11,7,0,0,0,1,0,0,0,2
7.071,16,8,1,10,9,0,1,0,1,0,0,0,2
7,16,9,1,10,9,0,1,0,1,0,0,0,2
7.071,16,10,2.828,11,7,0,0,0,1,0,0,0,2
7.28,16,11,2.236,11,8,0,1,0,0,0,0,0,2
6.325,15,11,2.236,11,8,0,1,0,0,0,0,0,2
5.385,14,11,1.414,10,8,0,1,0,0,0,0,0,2
5.385,14,11,1.414,10,8,0,1,0,0,0,0,0,2
5.385,14,11,1.414,10,8,0,1,0,0,0,0,0,2
5.099,14,10,2.236,10,7,0,0,0,1,0,0,0,2
5.099,14,10,2.236,10,7,0,0,0,1,0,0,0,2
5.099,14,10,2.236,10,7,0,0,0,1,1,0,0,2
4.123,13,10,2.236,10,7,0,0,0,1,1,1,0,2
4.123,13,10,2.236,10,7,0,0,0,1,1,1,0,2
3.162,12,10,2.236,10,7,0,0,0,1,1,1,0,2
3.162,12,10,2.236,10,7,0,0,0,1,1,1,0,2
2.236,11,10,2.236,10,7,0,0,1,1,1,1,1,2
2.236,11,10,2.236,10,7,0,0,1,1,1,1,1,2
2.236,11,10,2.236,10,7,0,0,1,1,1,1,1,2
1.414,10,10,4,13,9,0,0,1,0,1,1,1,2
1.414,10,10,4,13,9,0,0,1,0,1,1,1,2
1.414,10,10,4,13,9,0,0,1,0,1,1,1,2
